,Min,Max,Mean,STD,1st quartile,median,3rd quartile,number_of_tickers,Sampled stocks,fraction_of_sampled_tickers,date start,number_of_days,normalize_on_s_and_p_500
36,-7.6058903063370735,18.435283237773103,0.454693738937629,1.0,0.0595679999672832,0.3677634212114088,0.7616614130764707,100,100,0.2,2020-03-21 00:00:00,7,False
37,-7.05250659260115,42.38939448480508,0.4354596778432164,1.0,0.0557834044063506,0.302223519196663,0.6117108395809405,100,100,0.2,2020-06-08 00:00:00,7,False
38,-6.275501494960526,16.824267491527245,0.1455879998309583,1.0,-0.0646276421094302,0.0165004947143603,0.1988230282446385,100,100,0.2,2020-11-04 00:00:00,7,False
39,-12.473147612080364,38.00004057712045,0.0628325530101871,1.0,-0.1651075127932981,0.030015231744901,0.2555197187072858,100,100,0.1,2020-01-18 00:00:00,14,True
40,-9.810872303053888,48.06768816080538,0.0621074442398596,1.0,-0.1691825112089112,0.0163673968087511,0.2028394497550392,100,100,0.1,2020-05-01 00:00:00,14,True
41,-10.590521096457335,66.01624982478745,0.0463151556243544,1.0,-0.0819807597294095,0.0229818667183788,0.1727183081740726,100,100,0.1,2020-10-18 00:00:00,14,True
42,-9.345675796700348,88.98791845564914,0.0441866471363105,1.0,-0.0143555889409932,0.0129850754469201,0.0684849437969626,100,100,0.1,2020-01-04 00:00:00,14,False
43,-9.907373816545253,59.47953695176372,0.2604790853598398,1.0,0.0,0.1573954253813643,0.4030858610135442,100,100,0.1,2020-06-11 00:00:00,14,False
44,-2.0890624529723283,25.808836593970728,0.7595556170843135,1.0,0.1654210327213095,0.5675853389429246,1.0637091201066826,100,100,0.1,2020-03-16 00:00:00,14,False
45,-22.79637262913229,60.03616826528139,0.0266348236201624,1.0,-0.0798163167299295,0.0109213053322121,0.1101448146890809,100,100,0.2,2020-11-30 00:00:00,14,True
46,-10.495027197647037,34.29472352359399,0.1176225098118999,1.0,-0.1188216131020291,0.0801116399867106,0.3086058181160488,100,100,0.2,2020-09-03 00:00:00,14,True
47,-9.712665073535698,53.93763347360542,0.0158060720283579,1.0,-0.0853874940107904,0.0088891182170244,0.1015948192210644,100,100,0.2,2020-06-13 00:00:00,14,True
48,-19.135608115556337,32.779023123052795,0.0473825949601435,1.0,-0.1177410810544539,0.0111270788185208,0.1842428089526757,100,100,0.2,2020-08-08 00:00:00,14,False
49,-12.057801346809638,39.43738735601427,0.38039806500967,1.0,0.0396489038696462,0.2974142383020347,0.6298901906309516,100,100,0.2,2020-02-16 00:00:00,14,False
50,-5.763847751633947,31.65878078024421,0.4020013785401704,1.0,-0.0120933361920562,0.2111343321527605,0.6969168507001589,100,100,0.2,2020-04-22 00:00:00,14,False
51,-8.044056626828064,33.416584201257294,0.3761404114674925,1.0,0.0538290329285236,0.2453534961292753,0.5810333448078326,100,100,0.2,2020-08-25 00:00:00,28,False
52,-8.309803703387301,22.331836420277632,0.8348331261536954,1.0,0.3170736108955319,0.7313945673229936,1.1552839679827869,100,100,0.2,2020-03-01 00:00:00,28,False
53,-6.449372883031282,42.26751357379919,0.1020097354749585,1.0,-0.0206294489026849,0.0161715833941028,0.1652397021961404,100,100,0.2,2020-11-26 00:00:00,28,False
54,-10.812560350458543,41.5542578341244,0.2993517696220066,1.0,-0.0104359275081828,0.1754329783781649,0.4776778154932445,100,100,0.2,2020-01-15 00:00:00,28,False
55,-5.743208914605117,52.7426495344976,0.3196226027814404,1.0,0.030246301990628683,0.20762272246987878,0.46436322050109635,100,100,0.2,2020-09-07 00:00:00,28,False
